Date,Close/Last,Volume,Open,High,Low
04/08/2022,$9.02,20989060,$9,$9.1,$8.92
04/07/2022,$9.04,26590400,$9.18,$9.18,$8.975
04/06/2022,$9.15,31913190,$9.19,$9.29,$9.09
04/05/2022,$9.19,14854850,$9.26,$9.36,$9.17
04/04/2022,$9.27,17017320,$9.19,$9.285,$9.19
04/01/2022,$9.21,9315380,$9.25,$9.28,$9.2
03/31/2022,$9.24,11906210,$9.26,$9.31,$9.2
03/30/2022,$9.22,19332840,$9.21,$9.31,$9.2
03/29/2022,$9.25,27462560,$9.28,$9.35,$9.23
03/28/2022,$9.26,22379050,$9.12,$9.28,$9.12
03/25/2022,$9.18,25419850,$9.1,$9.2,$9.065
03/24/2022,$9.09,17570950,$9.1,$9.105,$9.04
03/23/2022,$9.09,17932310,$9.06,$9.145,$9.05
03/22/2022,$9.12,17840420,$9.04,$9.14,$9.03
03/21/2022,$9.05,12999270,$8.995,$9.1,$8.981
03/18/2022,$9.04,21718680,$8.95,$9.08,$8.93
03/17/2022,$8.97,18305030,$8.97,$9.02,$8.87
03/16/2022,$8.97,27042760,$8.82,$8.98,$8.81
03/15/2022,$8.85,28152740,$8.73,$8.89,$8.53
03/14/2022,$8.86,33487510,$8.985,$9.02,$8.79
03/11/2022,$9.05,17511320,$9.16,$9.18,$9.02
03/10/2022,$9.17,19726720,$9.05,$9.19,$9.05
03/09/2022,$9.14,25266120,$9.07,$9.19,$9.045
03/08/2022,$9.05,33893780,$9.01,$9.14,$8.92
